topic,name,full_name,url,stars,description,owner,language,last_updated,license,repo_type
machine-learning,start-machine-learning,louisfb01/start-machine-learning,https://github.com/louisfb01/start-machine-learning,5249,"A complete guide to start and improve in machine learning (ML), artificial intelligence (AI) in 2026 without ANY background in the field and",louisfb01,,2026-01,MIT,tutorial
machine-learning,have-fun-with-machine-learning,humphd/have-fun-with-machine-learning,https://github.com/humphd/have-fun-with-machine-learning,5114,An absolute beginner's guide to Machine Learning and Image Classification with Neural Networks,humphd,Python,2021-12,NOASSERTION,tutorial
machine-learning,MachineLearningStocks,robertmartin8/MachineLearningStocks,https://github.com/robertmartin8/MachineLearningStocks,1947,Using python and scikit-learn to make stock predictions,robertmartin8,Python,2024-06,MIT,tutorial
machine-learning,hand_detection,molyswu/hand_detection,https://github.com/molyswu/hand_detection,275,using Neural Networks (SSD) on Tensorflow.  This repo documents steps and scripts used to train a hand detector using Tensorflow (Object Det,molyswu,Python,2022-01,,dataset
machine-learning,redesigned-pancake,Sfedfcv/redesigned-pancake,https://github.com/Sfedfcv/redesigned-pancake,231,Skip to content github / docs Code Issues 80 Pull requests 35 Discussions Actions Projects 2 Security Insights Merge branch 'main' into 1862,Sfedfcv,,2021-05,,research
machine-learning,Awesome-AI,VidyasagarMSC/Awesome-AI,https://github.com/VidyasagarMSC/Awesome-AI,153,The guide to master Artificial Intelligence (machine learning & deep learning) from beginner to advance,VidyasagarMSC,,2024-03,MIT,awesome-list
machine-learning,torrents,swati1024/torrents,https://github.com/swati1024/torrents,102,"Skip to content   Search… All gists Back to GitHub Sign in Sign up Instantly share code, notes, and snippets.  @giansalex giansalex/torrent-",swati1024,,2020-02,,tutorial
deep-learning,free-ai-resources,JohnMwendwa/free-ai-resources,https://github.com/JohnMwendwa/free-ai-resources,140,"A curated collection of free, high-quality resources for learning about AI, including ML, deep learning, generative AI, natural language pro",JohnMwendwa,,2025-05,MIT,tutorial
deep-learning,blast-ON,BabyJ723/blast-ON,https://github.com/BabyJ723/blast-ON,43,# Awesome Keycloak [![Awesome](https://cdn.rawgit.com/sindresorhus/awesome/d7305f38d29fed78fa85652e3a63e154dd8e8829/media/badge.svg)](https:,BabyJ723,,2021-09,BSL-1.0,awesome-list
deep-learning,Hackers-Guide-to-Deep-Learning,curiousily/Hackers-Guide-to-Deep-Learning,https://github.com/curiousily/Hackers-Guide-to-Deep-Learning,29,Tutorials on how to engineer Machine Learning projects using Deep Neural Networks with PyTorch and Python,curiousily,Jupyter Notebook,2020-12,,tutorial
